,TEXT,Label
23887,@joonian Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY,11
32471,@HOMELESSCRISIS And maybe you will get the statue and sainthood you are seeking.  Win-win for all. Can't be a victim like your people.,6
14968,@TomFelton it wasn't that good tonight  I know DCD though .... I won't say what happened!,5
26203,@NattyKnits I just KNEW you'd get that!,2
30314,Headed to eat with my hubby n my mommy!!  So ready to have some drinks...,0
19687,at home sick,8
32513,@oiram16 orralle.. have fun,4
2300,@SplashAdams ill be alright but the whip may not,1
36082,says HAPPY MOTHER'S DAY!  http://plurk.com/p/sv70e,0
18169,"@DJGigiDred I already seen am and jazzy I know they blew the roof off! Was supposed 2 go to pony party, I couldn't make it out last night",4
8301,Is going to have one upset daughter  in a bit..mr. Rat took a sudden turn for the worse and didn't make it,5
30979,"@BeccyR It's a program that shows all Twitter and Facebook status updates all in one.. it's alright, but yeah probably won't use it often",2
20171,"@DavidArchie OK David, talk later  Have a great dayyyy ay ay ay ay",2
13669,Just finished curling her hair!!!! And now has to finish getting ready but doesn't have a ribbon to put in her hair,5
37403,"Watching Rugrats  anndd Tweeting, of course!",2
30974,@DanWarp &quot;Shut Up&quot; was the line removed from the locker scene! I bet I could recite that speech easily! Dare me?!?!,2
17692,@spjwebster wish @njwebster was coming too  I guess we can make time for you though if we have to ;),1
35604,@simoncurtis HAHA ...Your Hotter Than Justin Timberlake,2
8969,woke up to boxes to the ceiling and now he can't find his yerba mate or coffee beans.,5
10679,http://twitpic.com/676hv - R.I.P Fristy just thinking abt her,5
1082,I dont get twitter  Someone help me!,5
11102,"has just brought john tucker must die again, because her first copy is too recked to watch",4
33770,@JonathanRKnight awe...Thank you Jon!,11
9037,"Wow, kinda bothered that Jon is doing deposits now.  Apparently he keeps getting fucked out of times, but deposits are SO hard for me",10
27692,"@jerrynovak Thanks, hope you have a good one",11
33990,"and thanks, @rawrvee , fr. yr congratulatory gweetin'",2
34180,"@DinkyShop Oh yeah, and a few will say she went too far, and it'll all end up putting her back on top, where she belongs.",6
15867,"Dear co-worker, its great you don't want to smell, that's what deordant is for, not a bath in cologne",5
6782,@brainstuck hey! chutti was very tiring.. and have to travel again tomo  how was your Friday?,3
8827,Just woke up and feels so damn lazy  time to work out damnit!,10
2834,i miss my daddy,8
37736,@ANGiExcoco3 hay wats ur AIM? we should chat,5
33695,@Pressrecordmag oh i like this idea,4
23108,new Delerium's music video (http://tr.im/kpu3). mixed by Tiesto. i guess Bill Leeb finally forgot his music's roots,3
29458,"@djempirical Have to listen to samples to make sure I'm thinking of the same stuff. Loud, odd, Zorn-y stuff as I recall. Not Mr. Bungle.",5
38289,awake and ready to learn a little more,11
13768,in edinburgh. just had a chinese yum! better take wee haggis out hes cryin at me   dunno y tho xox,0
39423,alright @brainerdbaptist. let's do this,4
1760,I love music so much that i've gone through pain to play :S my sides of my fingers now are peeling and have blisters from playing so much,0
30949,So theres this boy. Hes so cute. Hes got a six pack.  yum it was fun touchin it.,9
15885,Jus chillin and doin my hrs. Friday afternoons tend to end up &quot;busy&quot;,8
15352,"@sara_luna everything , I donï¿½t know how explain  simply itï¿½s patetic",8
30983,@BPDINOKC Thanks!,5
8771,"I want to go outside and play in the sunshine, but I have to sit in front of a computer all day   At least I can have lunch on the patio!",9
15512,@bingofuel My lil' old Mac did the same thing...and it was never to charge again.,4
17067,dont get to see my boys tomorroww.im sad,8
20538,@hokulii Thanks. End up going to Makino Chaya,1
38764,I have just read up on lactose stuff and I CAN EAT HARD CHEESE!!! There is no lactose in it!!! *Jumps of Joy this rainy day* YAY!!!!,9
17566,@NeSsIe_Cullen10 I wish you were here with me right now,4
20446,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss'd!,1
11463,is feeling her eyes burned-fried after 10 hours attached to the screen uploading new summer clothing for my store www.Chittypulga.com,3
39947,"@MancunianLee Oh aye.....he rocks, shes horny",9
31497,Yao is out for the rest of the season! NOOO!..staying home on a Saturday night...SHOCK....got my phone fixed,5
12808,I need a new iPhone case but I am broke.,5
37435,@theasiangoddess thanks for the #followfriday  right back atcha!,3
34038,hello! @maggieyan3 ! following on recommendatiion of @casparterhorst !,9
26688,@ThisIsRobThomas good morning rob!,4
5609,Hicks are mean!,8
32668,"@midnightbeadery Awww, thank you!  &amp; you're welcome lol",9
8316,"@jerwjr Yes.  Me too. I can't understand why they have to do that. I mean, I know it's all about Hollywood, but this thing is called love.",9
25140,Just got to school. Goin to Cinncinatti Wednesday!,2
655,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer",4
30143,Why is @MRCRISIS scared or @Mskatrina25 lmao.. Someone pls tell me!!,5
6027,@mommyto6kids oh great.,0
24394,@MissxMarisa you the the Queen of Sass oh Scenie!!!,0
14531,@PreciousLittle so jealous,6
2420,They're gone.,4
20773,"In 24hrs time I will be at uni waiting to start my 1st exam, scary. I am working hard this morning though, and feeling ok about it atm",5
31594,"Gorgeous day!  Worked the Master Gardener plant sale, trimmed smoke bushes, and now to do some writing.",9
16941,@brian_jenkins nothing yet,4
21726,@Michael_Phelps hello michael  have a nice day,4
8784,"Just hit the 3000 word mark for his Geography Notes, and I'm not even doing it for GCSE? Mean while I've done a page of history",5
15849,MAYDAY?!,5
12788,Aww the little girl on Britain's Got Talent!  I actually love Ant n Dec!  Oh an' Simon Cowell. ;),9
15754,damn sunburn hurting  jack whitehall mmmmm,8
